,ds,y
0,2000-01-01,293739.0
1,2000-02-01,291000.0
2,2000-03-01,278904.347826087
3,2000-04-01,287125.0
4,2000-05-01,285470.8333333333
5,2000-06-01,299673.6296296296
6,2000-07-01,281022.7272727273
7,2000-08-01,276894.7368421053
8,2000-09-01,300062.5
9,2000-10-01,284064.28571428574
10,2000-11-01,279640.0
11,2000-12-01,276263.15789473685
12,2001-01-01,281500.0
13,2001-02-01,275714.28571428574
14,2001-03-01,268352.9411764706
15,2001-04-01,260976.19047619047
16,2001-05-01,265072.22222222225
17,2001-06-01,261495.55555555556
18,2001-07-01,278447.52
19,2001-08-01,266326.0869565217
20,2001-09-01,256281.7142857143
21,2001-10-01,257657.8947368421
22,2001-11-01,261346.15384615384
23,2001-12-01,263861.53846153844
24,2002-01-01,256273.05263157896
25,2002-02-01,252083.33333333334
26,2002-03-01,269312.5
27,2002-04-01,241026.31578947368
28,2002-05-01,262506.25
29,2002-06-01,270631.5789473684
30,2002-07-01,271400.0
31,2002-08-01,274395.8333333333
32,2002-09-01,286782.5
33,2002-10-01,279149.6842105263
34,2002-11-01,282702.63157894736
35,2002-12-01,271035.71428571426
36,2003-01-01,265425.0
37,2003-02-01,280687.5
38,2003-03-01,279215.7894736842
39,2003-04-01,259725.0
40,2003-05-01,283703.6666666667
41,2003-06-01,292083.3333333333
42,2003-07-01,269223.5294117647
43,2003-08-01,261100.0
44,2003-09-01,295032.3333333333
45,2003-10-01,283132.0
46,2003-11-01,277782.35294117645
47,2003-12-01,286607.14285714284
48,2004-01-01,270159.0909090909
49,2004-02-01,270382.35294117645
50,2004-03-01,262895.652173913
51,2004-04-01,267720.0
52,2004-05-01,270875.0
53,2004-06-01,275178.26086956525
54,2004-07-01,277250.0
55,2004-08-01,284318.1818181818
56,2004-09-01,282737.5
57,2004-10-01,275051.652173913
58,2004-11-01,271764.0
59,2004-12-01,269458.82352941175
60,2005-01-01,259933.33333333334
61,2005-02-01,289392.3076923077
62,2005-03-01,271111.1111111111
63,2005-04-01,266750.0
64,2005-05-01,267033.3333333333
65,2005-06-01,268187.5
66,2005-07-01,250652.63157894736
67,2005-08-01,257949.45454545456
68,2005-09-01,246717.5
69,2005-10-01,278178.5714285714
70,2005-11-01,261642.0
71,2005-12-01,262210.5263157895
72,2006-01-01,265075.0
73,2006-02-01,260605.26315789475
74,2006-03-01,265782.60869565216
75,2006-04-01,269078.94736842107
76,2006-05-01,261541.66666666666
77,2006-06-01,279700.0
78,2006-07-01,270665.0
79,2006-08-01,280650.0
80,2006-09-01,285326.0869565217
81,2006-10-01,282678.5714285714
82,2006-11-01,289357.14285714284
83,2006-12-01,277733.3333333333
84,2007-01-01,260916.66666666666
85,2007-02-01,285700.0
86,2007-03-01,283333.3333333333
87,2007-04-01,287515.0
88,2007-05-01,295611.1111111111
89,2007-06-01,297681.8181818182
90,2007-07-01,295311.76470588235
91,2007-08-01,333222.22222222225
92,2007-09-01,312333.3333333333
93,2007-10-01,315742.0
94,2007-11-01,342111.1111111111
95,2007-12-01,372536.2105263158
96,2008-01-01,361217.39130434784
97,2008-02-01,358416.6666666667
98,2008-03-01,359121.73913043475
99,2008-04-01,402230.76923076925
100,2008-05-01,359000.0
101,2008-06-01,374574.0
102,2008-07-01,397090.9090909091
103,2008-08-01,385341.17647058825
104,2008-09-01,380582.3448275862
105,2008-10-01,436377.6956521739
106,2008-11-01,437645.23076923075
107,2008-12-01,414875.0
108,2009-01-01,378486.6666666667
109,2009-02-01,402699.0
110,2009-03-01,408620.3333333333
111,2009-04-01,380258.4666666667
112,2009-05-01,364865.6666666667
113,2009-06-01,405592.0
114,2009-07-01,410544.44444444444
115,2009-08-01,418777.6842105263
116,2009-09-01,403418.4761904762
117,2009-10-01,399875.0
118,2009-11-01,407051.724137931
119,2009-12-01,424215.0
120,2010-01-01,428664.0
121,2010-02-01,416519.4
122,2010-03-01,426461.53846153844
123,2010-04-01,456329.2177777778
124,2010-05-01,427410.5263157895
125,2010-06-01,458760.77777777775
126,2010-07-01,456277.77777777775
127,2010-08-01,465203.0344827586
128,2010-09-01,458250.0
129,2010-10-01,489451.4074074074
130,2010-11-01,493486.1111111111
131,2010-12-01,481285.71428571426
132,2011-01-01,495000.0
133,2011-02-01,473823.5294117647
134,2011-03-01,484222.22222222225
135,2011-04-01,481705.8823529412
136,2011-05-01,512956.25
137,2011-06-01,485125.0
138,2011-07-01,484026.3157894737
139,2011-08-01,536742.0
140,2011-09-01,487057.14285714284
141,2011-10-01,485000.0
142,2011-11-01,538111.1111111111
143,2011-12-01,550300.0
144,2012-01-01,528666.6666666666
145,2012-02-01,540500.0
146,2012-03-01,528992.5333333333
147,2012-04-01,540699.2941176471
148,2012-05-01,540266.6666666666
149,2012-06-01,505929.4117647059
150,2012-07-01,517106.6666666667
151,2012-08-01,535250.0
152,2012-09-01,554653.8461538461
153,2012-10-01,526473.3333333334
154,2012-11-01,581733.3333333334
155,2012-12-01,572650.0
156,2013-01-01,559944.4444444445
157,2013-02-01,630333.3333333334
158,2013-03-01,547271.4285714285
159,2013-04-01,543736.8421052631
160,2013-05-01,571787.5294117647
161,2013-06-01,587077.7142857143
162,2013-07-01,545673.0769230769
163,2013-08-01,548333.3333333334
164,2013-09-01,557800.0
165,2013-10-01,556209.7777777778
166,2013-11-01,553714.2857142857
167,2013-12-01,604000.0
168,2014-01-01,529062.5454545454
169,2014-02-01,547800.0
170,2014-03-01,530153.8461538461
171,2014-04-01,557188.8
172,2014-05-01,538987.5
173,2014-06-01,537977.7777777778
174,2014-07-01,537300.0
175,2014-08-01,552250.0
176,2014-09-01,552666.5833333334
177,2014-10-01,510285.71428571426
178,2014-11-01,523450.0
179,2014-12-01,515222.22222222225
180,2015-01-01,524000.0
181,2015-02-01,509236.0
182,2015-03-01,558898.9090909091
183,2015-04-01,521987.0
184,2015-05-01,535454.5454545454
185,2015-06-01,563271.5
186,2015-07-01,533666.6666666666
187,2015-08-01,563555.5555555555
188,2015-09-01,596314.6666666666
189,2015-10-01,538307.6923076923
190,2015-11-01,566750.0
191,2015-12-01,609298.6666666666
192,2016-01-01,589760.6153846154
193,2016-02-01,573545.4545454546
194,2016-03-01,602680.5
195,2016-04-01,630315.7894736842
196,2016-05-01,592159.304347826
197,2016-06-01,564535.2727272727
198,2016-07-01,582461.3333333334
199,2016-08-01,570834.4
200,2016-09-01,589407.3333333334
201,2016-10-01,553026.3157894737
202,2016-11-01,556076.9230769231
203,2016-12-01,512125.86666666664
204,2017-01-01,559285.7142857143
205,2017-02-01,576632.0
206,2017-03-01,555894.35
207,2017-04-01,561147.52
208,2017-05-01,569125.0
209,2017-06-01,569340.0
210,2017-07-01,553333.3333333334
211,2017-08-01,571411.7647058824
212,2017-09-01,557587.5384615385
213,2017-10-01,507062.5
214,2017-11-01,559823.5294117647
215,2017-12-01,506925.04347826086
216,2018-01-01,505562.5
217,2018-02-01,571285.7142857143
218,2018-03-01,543040.3636363636
219,2018-04-01,525538.4615384615
220,2018-05-01,631533.3333333334
221,2018-06-01,573750.0
222,2018-07-01,538821.2173913043
223,2018-08-01,548000.0
224,2018-09-01,521857.14285714284
225,2018-10-01,599647.304347826
226,2018-11-01,551165.0
227,2018-12-01,546059.2
228,2019-01-01,632574.0
229,2019-02-01,495272.7272727273
230,2019-03-01,559666.6666666666
231,2019-04-01,569243.0
232,2019-05-01,559015.52
233,2019-06-01,575026.3157894737
234,2019-07-01,551794.4
235,2019-08-01,505380.0
236,2019-09-01,538000.0
237,2019-10-01,603432.0
238,2019-11-01,636277.6842105263
239,2019-12-01,557052.6315789474
240,2020-01-01,528794.1176470588
241,2020-02-01,494986.0
242,2020-03-01,511892.85714285716
243,2020-04-01,583500.0
244,2020-05-01,663888.0
245,2020-06-01,504926.85714285716
246,2020-07-01,593100.0
247,2020-08-01,533270.4586666666
248,2020-09-01,554352.8823529412
249,2020-10-01,549042.2857142857
250,2020-11-01,557245.3333333334
251,2020-12-01,570833.3333333334
252,2021-01-01,566348.3636363636
253,2021-02-01,530785.7142857143
254,2021-03-01,567500.0
255,2021-04-01,599500.0
256,2021-05-01,618824.0
257,2021-06-01,640315.52
258,2021-07-01,645222.2222222222
259,2021-08-01,617853.4054054054
260,2021-09-01,680634.0689655172
261,2021-10-01,660209.7777777778
262,2021-11-01,692880.125
263,2021-12-01,676516.6
264,2022-01-01,702114.4242424242
265,2022-02-01,745228.7058823529
266,2022-03-01,723440.7826086957
267,2022-04-01,756265.8304761904
268,2022-05-01,766740.717948718
269,2022-06-01,750328.947368421
270,2022-07-01,740830.25
271,2022-08-01,756932.0
272,2022-09-01,759856.4324324324
273,2022-10-01,803066.1935483871
274,2022-11-01,740106.9629629629
275,2022-12-01,735662.5714285715
276,2023-01-01,738026.9357575757
277,2023-02-01,689484.8571428572
278,2023-03-01,670825.1428571428
279,2023-04-01,705580.625
280,2023-05-01,725452.8125
281,2023-06-01,708273.1875
282,2023-07-01,699498.375
283,2023-08-01,702868.25
284,2023-09-01,711276.5
285,2023-10-01,718507.8125
286,2023-11-01,725450.875
287,2023-12-01,719878.625
288,2024-01-01,716654.375
289,2024-02-01,708361.375
290,2024-03-01,709011.0
291,2024-04-01,730198.125
292,2024-05-01,759965.9375
293,2024-06-01,731061.625
294,2024-07-01,732460.125
295,2024-08-01,725420.75
296,2024-09-01,744943.0
297,2024-10-01,741873.875
298,2024-11-01,759442.6875
299,2024-12-01,742674.625
300,2025-01-01,749758.25
301,2025-02-01,730477.0
302,2025-03-01,734495.25
303,2025-04-01,759873.0625
304,2025-05-01,788114.4375
305,2025-06-01,761112.125
306,2025-07-01,758640.375
307,2025-08-01,754753.5
308,2025-09-01,771466.0
309,2025-10-01,771817.875
310,2025-11-01,786596.0
311,2025-12-01,772530.6875
312,2026-01-01,776137.625
313,2026-02-01,759296.875
314,2026-03-01,759797.375
315,2026-04-01,789702.5
316,2026-05-01,816072.875
317,2026-06-01,791383.25
318,2026-07-01,784623.9375
319,2026-08-01,784289.25
320,2026-09-01,797779.3125
321,2026-10-01,801956.0625
322,2026-11-01,813549.625
323,2026-12-01,802593.0625
324,2027-01-01,802323.5625
325,2027-02-01,788315.625
326,2027-03-01,784919.25
327,2027-04-01,819685.5625
328,2027-05-01,843841.625
329,2027-06-01,821874.375
330,2027-07-01,810412.375
331,2027-08-01,814027.0
332,2027-09-01,823883.875
333,2027-10-01,832287.3125
334,2027-11-01,840304.125
335,2027-12-01,832860.8125
336,2028-01-01,828316.75
337,2028-02-01,817533.0
338,2028-03-01,817829.75
